City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
264,Camiri,BO,-20.05,-63.5167,51.24,37,23,0.92,few clouds
265,West Bay,KY,19.3667,-81.4167,87.87,75,20,1.99,few clouds
266,Santa Isabel,BR,-23.3156,-46.2214,56.5,47,35,2.3,scattered clouds
267,Lumeje,AO,-11.55,20.7833,57.7,42,5,4.38,clear sky
268,Salinopolis,BR,-0.6136,-47.3561,78.58,85,6,8.86,clear sky
269,Qorveh,IR,35.1664,47.8045,69.03,41,14,4.32,few clouds
270,Barnaul,RU,53.3606,83.7636,57.92,77,0,6.71,clear sky
271,Amapa,BR,1.0,-52.0,73.54,90,53,2.06,broken clouds
272,Bardiyah,LY,31.7561,25.0865,78.39,76,0,8.08,clear sky
273,Tobane,BW,-21.95,27.9,49.39,64,0,3.91,clear sky
274,The Valley,AI,18.217,-63.0578,84.06,78,20,14.97,haze
275,Nueva Guinea,NI,11.6876,-84.4562,74.41,96,99,7.29,overcast clouds
276,Itarema,BR,-2.9248,-39.9167,79.07,80,38,12.77,scattered clouds
277,Zdunska Wola,PL,51.5992,18.9397,63.32,91,26,3.83,scattered clouds
278,Riviere-Au-Renard,CA,48.9957,-64.3971,73.69,94,100,10.92,overcast clouds
279,Sumbe,AO,-11.2061,13.8437,68.7,88,25,7.76,scattered clouds
280,Adrar,MR,20.5022,-10.0711,96.42,14,59,9.66,broken clouds
281,Alta Floresta,BR,-9.8756,-56.0861,76.6,41,17,3.71,few clouds
282,Koungheul,SN,13.9833,-14.8,82.53,69,56,10.33,broken clouds
283,Kuytun,RU,54.3419,101.5036,62.51,74,4,7.7,clear sky
284,Great Yarmouth,GB,52.6083,1.7305,62.02,86,82,8.1,broken clouds
285,Veraval,IN,20.9,70.3667,82.54,83,100,22.59,overcast clouds
286,Bubaque,GW,11.2833,-15.8333,81.21,82,74,15.99,broken clouds
287,Imbituba,BR,-28.24,-48.6703,55.81,73,0,7.0,clear sky
288,Henties Bay,NA,-22.116,14.2845,58.86,70,0,6.76,clear sky
289,Micheweni,TZ,-4.9667,39.8333,75.51,79,43,14.41,scattered clouds
290,San Miguel,SV,13.4833,-88.1833,94.6,46,20,3.44,few clouds
291,Farnham,GB,51.2143,-0.7959,70.5,83,0,3.44,clear sky
292,Muros,ES,42.7762,-9.0603,67.08,83,22,3.13,few clouds
293,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,78,75,14.97,broken clouds
294,Kendal,GB,54.3268,-2.7476,66.94,92,37,2.46,scattered clouds
295,Sochi,RU,43.6,39.7303,71.69,47,0,5.17,clear sky
296,San Martin,AR,-33.081,-68.4681,48.74,28,0,6.22,clear sky
297,Mattru,SL,7.6244,-11.8332,74.21,96,100,3.78,light rain
298,Sinop,TR,41.7711,34.8709,73.31,55,48,1.7,scattered clouds
299,Altoona,US,40.5187,-78.3947,81.61,76,88,2.95,overcast clouds
300,Margate,GB,51.3813,1.3862,66.74,91,3,1.01,clear sky
301,Dunmore Town,BS,25.5,-76.65,82.6,78,7,13.65,clear sky
302,Botwood,CA,49.1499,-55.3482,76.48,60,88,8.66,overcast clouds
303,Mahon,ES,39.8885,4.2658,72.16,64,0,3.44,clear sky
304,Rio Grande,BR,-32.035,-52.0986,46.94,83,8,11.36,clear sky
305,Novooleksiyivka,UA,46.2269,34.6428,80.76,53,0,6.76,clear sky
306,Kolosovka,RU,56.4678,73.611,57.85,88,98,4.72,overcast clouds
307,Evans,US,33.5337,-82.1307,82.78,86,75,1.01,light rain
308,Abancay,PE,-13.6339,-72.8814,55.81,87,69,5.23,broken clouds
309,Nadym,RU,65.5333,72.5167,57.72,72,10,4.79,clear sky
310,Lulea,SE,65.5842,22.1547,55.47,62,75,13.8,broken clouds
311,Oriximina,BR,-1.7656,-55.8661,78.8,70,25,4.0,scattered clouds
312,Ust-Tsilma,RU,65.441,52.1498,53.8,98,100,4.99,overcast clouds
313,Caravelas,BR,-17.7125,-39.2481,72.19,91,0,5.14,clear sky
314,Kuminskiy,RU,58.6667,66.5667,60.17,89,68,3.29,broken clouds
315,Erzurum,TR,40.0,41.5,64.08,51,1,3.98,clear sky
316,Snasa,NO,64.2457,12.3778,50.72,97,100,13.49,overcast clouds
317,Isla Mujeres,MX,21.2311,-86.731,86.16,76,2,9.53,clear sky
318,Kutum,SD,14.2,24.6667,73.0,73,69,16.89,broken clouds
319,Arraias,BR,-12.9288,-46.9437,73.65,31,3,4.05,clear sky
320,Saint-Francois,FR,46.4154,3.9054,63.68,80,0,1.14,clear sky
321,Khairagarh,IN,26.95,77.8167,81.95,79,86,5.12,overcast clouds
322,Torbat-E Jam,IR,35.244,60.6225,75.22,19,0,12.82,clear sky
323,Tamara,HN,14.15,-87.3333,76.75,50,75,6.91,light rain
324,Rensvik,NO,63.1,7.8167,55.06,93,75,18.41,heavy intensity drizzle
325,Sao Joao Do Piaui,BR,-8.3581,-42.2467,80.1,38,0,5.26,clear sky
326,Jahanabad,IN,25.2167,84.9833,82.96,73,89,5.37,overcast clouds
327,Grindavik,IS,63.8424,-22.4338,52.27,100,90,4.61,mist
328,Chilca,PE,-12.5211,-76.7372,64.56,83,72,8.75,broken clouds
329,Danilovka,RU,50.3557,44.1168,75.04,59,65,5.73,broken clouds
330,Barsovo,RU,61.1667,73.1667,60.93,91,56,5.39,broken clouds
331,Husavik,IS,66.0449,-17.3389,49.91,84,58,3.78,broken clouds
332,Mangrol,IN,21.1167,70.1167,82.63,82,97,22.7,overcast clouds
333,Sanchor,IN,24.7553,71.7722,83.91,74,100,18.92,overcast clouds
334,Sipoo,FI,60.3775,25.2691,56.91,68,0,8.05,clear sky
335,Shiloh,US,38.5614,-89.8973,82.87,63,1,10.36,clear sky
336,Santo Tomas,PH,14.1079,121.1414,80.55,97,99,6.11,overcast clouds
337,Aquiraz,BR,-3.9014,-38.3911,80.69,85,10,10.47,clear sky
338,Labrea,BR,-7.2586,-64.7981,77.59,60,12,3.74,few clouds
339,Surgut,RU,61.25,73.4167,60.98,100,20,4.47,few clouds
340,Porto Walter,BR,-8.2686,-72.7439,69.39,79,7,3.47,clear sky
341,Bani,DO,18.2833,-70.3333,83.86,80,21,12.62,few clouds
342,Tartagal,AR,-22.5164,-63.8013,50.68,39,50,2.17,scattered clouds
343,Tahta,EG,26.7693,31.5021,87.91,18,0,5.84,clear sky
344,Poquoson,US,37.1224,-76.3458,78.85,79,40,6.91,scattered clouds
